"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
8.67922813541977e-159,3.62020513968236,0.989,0.123,2.18100323814963e-154,"0","1700012B09Rik"
2.12200763291203e-155,3.35547069894877,0.991,0.155,5.33239298074465e-151,"0","Plekhb1"
2.36176380443926e-154,3.1157729414329,0.997,0.237,5.93487626417542e-150,"0","Stom"
2.54977858002502e-154,3.44724873428022,1,0.352,6.40733859374487e-150,"0","Omp"
8.25535691369765e-154,3.32619051584756,0.997,0.262,2.07448863884308e-149,"0","Olfm1"
2.81472884497613e-153,3.7222878617527,0.967,0.126,7.07313211454053e-149,"0","Dcdc2a"
5.0855808725989e-153,3.32291366742494,1,0.39,1.27795561747538e-148,"0","Gng13"
9.5112414268336e-153,2.85524780086247,1,0.959,2.39007985814901e-148,"0","Calm1"
4.96458815279032e-152,3.05229258247966,1,0.293,1.24755135691468e-147,"0","Gfy"
3.93589481710348e-151,3.78652700445659,0.951,0.087,9.89051008589933e-147,"0","Nrn1l"
9.14513136463827e-151,3.30567327986855,1,0.33,2.29808006061995e-146,"0","Gnal"
1.19982737757771e-150,3.41101265246658,1,0.369,3.01504621711503e-146,"0","Stoml3"
1.68720875625695e-150,3.56081056501099,0.965,0.106,4.23978688359809e-146,"0","Ric8b"
1.87257525477629e-150,2.96580315114252,0.994,0.242,4.70559435772735e-146,"0","Ttll7"
8.01726092852235e-150,3.0321642547644,0.999,0.306,2.01465749872838e-145,"0","Nsg1"
1.5203326357305e-149,3.42485711578874,0.969,0.1,3.82044388032718e-145,"0","Adcy3"
1.97173547389118e-149,3.41231132157855,0.962,0.094,4.95477407234114e-145,"0","Umodl1"
4.46784416146707e-149,3.18834450145548,1,0.295,1.12272455933506e-144,"0","Chga"
3.94416502591277e-148,3.35986104340478,0.963,0.113,9.9112922936162e-144,"0","Syt1"
1.80442949624861e-147,3.26489832950932,0.976,0.117,4.53435088112314e-143,"0","Clgn"
2.19596133391795e-147,3.4903599262012,0.961,0.109,5.51823123600242e-143,"0","Jakmip1"
3.45435841462368e-147,3.0834027500072,0.994,0.252,8.68045726010784e-143,"0","Prxl2b"
1.89615269784789e-146,2.30295320528152,1,0.885,4.76484211442195e-142,"0","Calm2"
1.0709650387054e-145,3.03336296228898,0.992,0.179,2.6912280457628e-141,"0","Aplp1"
6.0171506993585e-144,2.99089778975446,0.985,0.17,1.5120497992418e-139,"0","Scn9a"
6.75261172041823e-144,3.42539268317627,0.951,0.113,1.6968637992239e-139,"0","Pcolce2"
2.97190436486407e-143,3.42310254369073,0.935,0.094,7.46809847846692e-139,"0","Cnga2"
3.75545366067863e-143,2.74604623698392,1,0.328,9.43707950391933e-139,"0","Fstl5"
3.90029133872331e-143,3.49768893271612,0.966,0.099,9.8010421050778e-139,"0","Ctxn3"
4.40021082539317e-142,3.3020861011854,0.915,0.109,1.10572897831305e-137,"0","Cfap69"
9.69821186697352e-142,3.35821195448871,0.945,0.106,2.43706366005178e-137,"0","Spef2"
5.25470051832322e-141,2.5588036326367,1,0.666,1.32045369324944e-136,"0","Gnb1"
8.04834266169904e-141,2.69677810506025,0.999,0.507,2.02246802745835e-136,"0","Ckb"
6.48831018740975e-140,3.49276073841959,0.953,0.101,1.6304474669942e-135,"0","Acbd7"
1.17794983600672e-139,3.45338173537225,0.918,0.097,2.96007014290128e-135,"0","Fgf12"
1.79052780678093e-138,2.80587309456557,0.987,0.351,4.49941732565979e-134,"0","Myo6"
4.80195754765224e-138,2.96560063452851,0.967,0.137,1.20668391214953e-133,"0","Flrt1"
6.27366153648806e-138,3.35548006467221,0.92,0.113,1.57650840750408e-133,"0","Ak1"
2.44003304426501e-137,2.8082064530328,1,0.343,6.13155903693354e-133,"0","Atf5"
2.45852491243073e-137,3.42738442138182,0.932,0.093,6.17802725244717e-133,"0","Tmem74bos"
5.64777941286826e-136,2.88533275405984,0.988,0.27,1.41923048865967e-131,"0","Sult1d1"
1.62675560713761e-135,2.88670467418488,0.954,0.117,4.0878741651761e-131,"0","Cntn4"
3.55568655859223e-135,3.50746447491844,0.9,0.087,8.93508475308641e-131,"0","Faim2"
2.7639524524131e-133,2.59889218054745,0.987,0.253,6.94553611766889e-129,"0","Serpine2"
4.31964579150072e-133,3.26268933672609,0.93,0.123,1.08548379094621e-128,"0","Tspan7"
3.94517277023511e-132,2.52492411563354,0.998,0.489,9.9138246543238e-128,"0","Tshz2"
7.53784817526796e-132,3.16818132170577,0.924,0.127,1.89418586796309e-127,"0","Tspyl4"
9.48742499666391e-132,2.75591721469713,0.934,0.17,2.38409502741167e-127,"0","Rufy3"
1.49846714171359e-130,3.39989237693735,0.927,0.117,3.76549808041208e-126,"0","Tom1"
2.19291125857845e-129,3.54136731896573,0.867,0.077,5.51056670168178e-125,"0","Kcnc4"
3.7638841186225e-128,2.7254047657093,0.956,0.183,9.45826440168648e-124,"0","Igsf8"
7.27806870709868e-128,3.67893301035653,0.872,0.079,1.82890588540683e-123,"0","Fam81b"
3.61940430795244e-125,3.14409380598576,0.888,0.112,9.09520108545369e-121,"0","Pde4a"
1.21795764019848e-124,3.34451257596668,0.865,0.092,3.06060575405475e-120,"0","Acsl6"
2.55776207445191e-124,2.27595577321743,0.99,0.272,6.42740031689021e-120,"0","Ncam1"
2.95743201308339e-124,2.63360348831461,0.945,0.231,7.43173090567726e-120,"0","Cfap36"
3.63395280663726e-124,3.01082933766593,0.924,0.163,9.13176000779878e-120,"0","Pde6d"
5.73945550777956e-124,2.5957229566731,0.971,0.235,1.44226777454993e-119,"0","Rtn1"
1.87565636034514e-123,2.77088820559736,0.903,0.153,4.71333686791131e-119,"0","Rab6b"
1.88282739785881e-123,2.59031681344651,0.971,0.364,4.73135696807939e-119,"0","Cmip"
1.04356896319467e-122,2.61232533533411,0.962,0.144,2.62238444761188e-118,"0","Elavl3"
1.27866423347654e-122,2.59516456643853,0.95,0.141,3.2131553523032e-118,"0","Ebf2"
1.57947346326741e-122,3.34261878136468,0.868,0.096,3.96905886584467e-118,"0","Gramd1c"
1.63007606712151e-122,3.95931219211198,0.796,0.061,4.09621814906963e-118,"0","Gm11992"
1.80000803223054e-122,3.78028851747386,0.944,0.375,4.52324018419211e-118,"0","S100a5"
3.54641536191791e-122,2.9165029795602,0.895,0.151,8.91178716296352e-118,"0","Klhl5"
3.87163020477101e-122,3.34990375853644,0.87,0.102,9.72901954156907e-118,"0","Oscp1"
3.23371764743351e-121,3.56442747580697,0.817,0.069,8.12600907623566e-117,"0","Cnga4"
6.15547792171178e-121,3.3098591397762,0.87,0.096,1.54681004694695e-116,"0","Snap25"
1.00347368003459e-120,2.37354519783553,0.96,0.155,2.52162901055892e-116,"0","Uchl1"
1.14270868630177e-120,2.17319913943761,0.985,0.351,2.87151265780771e-116,"0","Cystm1"
1.60461039644817e-120,3.08517783715151,0.853,0.132,4.0322254652346e-116,"0","Eml2"
2.97924593014934e-120,3.02134872032244,0.896,0.122,7.48654709787228e-116,"0","Trnp1"
5.50587119073291e-120,2.61004139240396,0.935,0.176,1.38357037151927e-115,"0","Nrxn1"
1.06684824305446e-117,1.83287236946127,0.998,0.752,2.68088294997156e-113,"0","Aplp2"
1.31054288780324e-117,2.97796094402318,0.888,0.138,3.29326322276077e-113,"0","Pde1c"
1.77576594499176e-117,3.11890306276334,0.861,0.105,4.46232224316979e-113,"0","Lrriq1"
5.11688067634574e-117,2.11600851434055,0.999,0.519,1.28582094515892e-112,"0","Tuba1a"
1.93109535525536e-116,3.49363436624287,0.836,0.085,4.85264951822118e-112,"0","Ttll6"
1.18819112013453e-115,2.15757823449055,1,0.521,2.98580546578606e-111,"0","Map1b"
1.63979210269907e-115,3.39445355837513,0.817,0.082,4.12063357487249e-111,"0","Carns1"
5.50008822778366e-115,3.40957482851817,0.811,0.09,1.38211717075975e-110,"0","Efna3"
1.19555188293315e-114,2.95676703080919,0.84,0.127,3.00430232662272e-110,"0","Rab3a"
2.52356689838954e-114,3.33171156682665,0.813,0.087,6.34147125896308e-110,"0","Rtp1"
1.0076350956582e-113,3.49677300442848,0.811,0.074,2.53208623187949e-109,"0","Cngb1"
2.41784644086504e-113,3.24404586200991,0.844,0.102,6.07580632124975e-109,"0","Them6"
4.1678477335652e-112,3.03083900766602,0.858,0.122,1.0473384569676e-107,"0","Impdh1"
1.31330678447337e-111,3.14572853905685,0.845,0.111,3.30020861870314e-107,"0","Hist2h2be"
7.17570223295223e-110,2.59658148204705,0.912,0.15,1.80318221411857e-105,"0","Syt11"
8.62632544696533e-110,3.18091165755513,0.873,0.11,2.16770932156792e-105,"0","Manea"
1.08521861498761e-109,3.41377999793666,0.787,0.08,2.72704585760238e-105,"0","Slc17a6"
1.49132763756819e-109,2.34737004388127,0.922,0.267,3.74755722044512e-105,"0","Arl3"
2.70476137759589e-109,3.27811867139411,0.771,0.081,6.79679486576071e-105,"0","Clstn2"
9.97200490808092e-109,2.17501814230551,0.921,0.163,2.50586511335165e-104,"0","Tesc"
1.12827737788961e-108,2.42965730214243,0.881,0.204,2.83524822289881e-104,"0","Ift43"
1.66934165287345e-108,3.30997276136603,0.824,0.086,4.1948886395057e-104,"0","Eef1a2"
1.86272301245705e-108,3.15970131219117,0.83,0.097,4.68083665800332e-104,"0","Fam92b"
2.08277300826805e-108,2.07175577194491,0.966,0.319,5.23380029247679e-104,"0","Mgst3"
4.75974131164605e-108,2.07510951654722,0.888,0.126,1.19607539420353e-103,"0","Lhx2"
1.23666702806557e-107,2.5169266182391,0.879,0.135,3.10762057482596e-103,"0","Ebf3"
1.71662871909163e-107,2.60908096542418,0.892,0.224,4.31371630820536e-103,"0","Ormdl3"
3.27389829980856e-107,2.67703084633338,0.897,0.205,8.22697903758893e-103,"0","Sgpl1"
6.35953808333667e-107,3.39018093156271,0.812,0.086,1.59808832496167e-102,"0","Rtp2"
1.4691423773298e-106,3.03961878797922,0.86,0.148,3.69180787999204e-102,"0","Ip6k2"
1.5457374071087e-105,3.26037976065441,0.768,0.083,3.88428353032346e-101,"0","Cartpt"
3.53046997283807e-105,3.11516205126524,0.83,0.102,8.87171799474478e-101,"0","Mapk8ip2"
4.34741019260074e-105,3.67219829094245,0.774,0.062,1.09246070729864e-100,"0","Slc1a2"
9.15077796463133e-105,3.37104948654171,0.8,0.083,2.29949899473221e-100,"0","Lrguk"
1.03011382250628e-104,3.31515252041394,0.807,0.082,2.58857302457603e-100,"0","Fam131c"
1.07744371130648e-104,3.4591576054411,0.781,0.07,2.70750830214204e-100,"0","Ano2"
1.23873588094636e-104,2.26268931446117,0.889,0.124,3.1128193952301e-100,"0","Stmn3"
1.89168010919307e-104,2.44527492384188,0.902,0.18,4.75360294639128e-100,"0","Fetub"
1.23865545921208e-103,1.81312558248881,0.986,0.471,3.11261730345404e-99,"0","Chchd10"
5.18421986299731e-103,1.64710501113376,0.998,0.636,1.30274260937259e-98,"0","Atp1b1"
5.33196321851825e-103,3.50714344465306,0.743,0.073,1.33986903718145e-98,"0","Fam217a"
8.26987130078278e-103,2.35541517197768,0.912,0.226,2.0781359591737e-98,"0","Prnp"
1.74979338592749e-102,2.64596083398922,0.872,0.141,4.39705579949719e-98,"0","Ank2"
3.71431626209671e-102,3.14938587621529,0.76,0.09,9.33370533502281e-98,"0","Rd3"
1.69954179933689e-101,2.42814754545033,0.82,0.114,4.27077858755368e-97,"0","Myt1l"
1.78118189129835e-101,1.84705594530269,0.992,0.679,4.47593197464363e-97,"0","Tubb4b"
4.93636713606377e-101,2.34259849112189,0.843,0.189,1.24045969762147e-96,"0","Ahi1"
6.46896267640806e-101,3.61246179862541,0.724,0.067,1.62558563095458e-96,"0","Ephx4"
6.62919863592474e-101,2.61474574294447,0.878,0.201,1.66585132522153e-96,"0","Abhd16a"
4.52613286627423e-99,2.60272372090347,0.837,0.12,1.13737192796605e-94,"0","Mlf1"
1.16024089560469e-98,3.75566411588547,0.722,0.06,2.91556934656503e-94,"0","A730046J19Rik"
1.17680441403694e-98,2.45244497601465,0.861,0.168,2.95719181203342e-94,"0","Id4"
3.56825595505397e-98,2.63979182290919,0.783,0.149,8.96667038945512e-94,"0","Agtpbp1"
5.60846421199741e-98,2.91445269124877,0.755,0.095,1.40935097183283e-93,"0","Ppp1r14c"
6.9562607087399e-98,3.33433164298798,0.762,0.09,1.74803875349925e-93,"0","Cacnb3"
1.59152416086738e-97,2.57317999808343,0.817,0.159,3.99934106384364e-93,"0","Ift74"
1.70162394630308e-97,2.74185999129182,0.796,0.109,4.276010814665e-93,"0","Spock1"
2.46768671234372e-97,3.05272300804215,0.742,0.084,6.20104993944854e-93,"0","Efcab10"
2.75993027463754e-96,2.49822218165542,0.845,0.114,6.93542878713667e-92,"0","Uncx"
3.19415705933384e-96,3.41451880166304,0.754,0.081,8.02659727440001e-92,"0","Zfp385b"
3.46941392974001e-96,1.68555701624492,0.971,0.512,8.71829026404368e-92,"0","Saraf"
1.03982259923725e-95,3.28591791979844,0.738,0.082,2.61297020962328e-91,"0","Tstd1"
1.73999313049383e-95,1.62923900784389,0.945,0.449,4.37242873761794e-91,"0","Pgam1"
2.45664685803114e-95,3.37208612516431,0.74,0.081,6.17330788954645e-91,"0","Nat14"
5.16420421762782e-95,2.15436896622097,0.875,0.213,1.29771287784769e-90,"0","Ptp4a3"
8.16768115535068e-95,3.30988125364804,0.757,0.083,2.05245659752807e-90,"0","Pex5l"
8.30802069532453e-95,1.99596083741658,0.954,0.372,2.0877225205281e-90,"0","Hmgn3"
2.75945739639578e-94,2.83588869191809,0.739,0.104,6.93424049140296e-90,"0","Cplx2"
2.95835261072569e-94,2.86067992241323,0.807,0.129,7.43404427549259e-90,"0","Epha5"
7.2510815970868e-94,3.23228446043616,0.713,0.084,1.82212429453194e-89,"0","Fmn2"
9.57757863448921e-94,2.48072168806115,0.848,0.187,2.40674973506079e-89,"0","Endod1"
1.13067224868716e-93,3.27416688822458,0.765,0.082,2.84126629372597e-89,"0","Enkur"
1.23850934834013e-93,3.06130245112638,0.749,0.091,3.11225014144392e-89,"0","Slc24a2"
2.07276529000933e-93,2.88365261488155,0.768,0.109,5.20865189726444e-89,"0","Spa17"
2.28941501646794e-93,3.18871228284057,0.702,0.083,5.75307099488228e-89,"0","Spef1"
2.80066166678277e-93,2.61197517169116,0.876,0.192,7.03778270245841e-89,"0","Rap1gds1"
3.7479312882033e-93,1.35368398702697,0.986,0.745,9.41817653412608e-89,"0","Pafah1b1"
8.51905200885054e-93,2.34864796148526,0.826,0.214,2.14075257930405e-88,"0","Aig1"
2.70553589605352e-92,3.21861804170142,0.743,0.09,6.79874115319289e-88,"0","Tarsl2"
4.46829466208796e-92,1.85936932768174,0.947,0.427,1.12283776563608e-87,"0","Adipor1"
5.17212631235732e-92,2.30347035049038,0.883,0.255,1.29970362103227e-87,"0","Dnajb14"
2.41867352174213e-91,3.15285565904421,0.724,0.089,6.0778846927858e-87,"0","Elmod3"
2.91594043900481e-91,2.05389016510668,0.933,0.321,7.32746672917519e-87,"0","Strbp"
3.85815436996629e-91,2.82260560177202,0.783,0.127,9.69515611628829e-87,"0","Traf3ip1"
4.8379036605274e-91,2.62383695839716,0.854,0.155,1.21571681085393e-86,"0","Gpm6a"
6.9702686438244e-91,3.46168846794394,0.712,0.068,1.75155880750663e-86,"0","Gadl1"
2.62385883987108e-90,1.33052455644976,0.996,0.876,6.59349487871205e-86,"0","Hint1"
1.16093142453805e-89,2.42469316379672,0.786,0.151,2.91730457672167e-85,"0","Pkib"
1.75516182529394e-89,2.97352943497027,0.691,0.086,4.41054615078115e-85,"0","Ccdc39"
5.13141920762876e-89,3.08601233565305,0.747,0.102,1.28947433268503e-84,"0","Fam13a"
9.56109339126469e-89,2.91827017651954,0.748,0.097,2.4026071582909e-84,"0","Snca"
2.03515438139159e-88,3.19573040763516,0.712,0.075,5.11413944499893e-84,"0","Pifo"
2.987781673076e-88,2.87306093639754,0.741,0.115,7.50799656627269e-84,"0","Rnf128"
3.17642829371258e-88,2.87089079688705,0.706,0.114,7.98204665927034e-84,"0","Slc8a1"
3.90341352893954e-88,2.03735045307986,0.911,0.284,9.80888785687217e-84,"0","Camk2d"
5.29360531864246e-88,2.60348077701509,0.829,0.174,1.33023008052166e-83,"0","Mycbp"
