"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mt1",1003.73331580468,-1.46072171535063,0.103791001567002,-14.0736835881448,5.51217761790377e-45,2.34102183432373e-41
"Rps21",2212.84982997935,-1.05101378539461,0.0764109051604676,-13.754761616649,4.76849866757587e-43,1.01259069205974e-39
"Rps27",1741.63880025125,-1.12388798786727,0.082116787071732,-13.6864583716057,1.2232793299777e-42,1.73175577147177e-39
"Fos",6839.55540916594,-0.950522246632401,0.0708075352564826,-13.424026739377,4.37291605080517e-41,4.64294361694239e-38
"Rpl39",2212.3865081811,-0.994183912083004,0.0761866904076455,-13.0493122455315,6.41236461322421e-39,5.44666250247264e-36
"Ier2",1417.75976584527,-1.05662250671443,0.0861266497006305,-12.2682411354345,1.34135519867378e-34,9.49455921461259e-32
"Gm42418",10038.0788947451,1.34472659115236,0.110128017088495,12.2105766244005,2.72947822071442e-34,1.65601342905345e-31
"Rpl35a",2980.93558487434,-0.884445424794663,0.0727033219565536,-12.1651308494981,4.76680899214533e-34,2.53057972370515e-31
"Rps28",1887.93496088867,-0.987384170163469,0.0816603067235439,-12.0913600472528,1.1732820173415e-33,5.53658747516594e-31
"Ly6c2",139.655954913137,7.23925753061311,0.612070784347477,11.8274841991206,2.81451329268133e-32,1.19532379540176e-29
"Rpl37a",2512.5594182093,-0.915248872650251,0.0779849732990944,-11.7362208888629,8.3118196348551e-32,3.20911799902087e-29
"Rps15a",2458.55561778506,-0.880591241274299,0.0754160836222388,-11.6764382208602,1.68196710055714e-31,5.9527618967218e-29
"Rpl34",2332.49792082059,-0.865008280443612,0.0749294734361248,-11.5442994695673,7.88815240228883e-31,2.57699871173236e-28
"Dusp1",1859.56844849503,-0.971678933460504,0.0848699236614032,-11.4490374391888,2.37771046879009e-30,7.21295454353678e-28
"Isg15",301.653903411182,1.85396396795783,0.16409103523591,11.2983866869535,1.33650718250118e-29,3.784097336055e-27
"Rpl37",2040.43349957764,-0.897932600258132,0.0828556618738896,-10.8373112947288,2.29105584852675e-27,6.0813213679332e-25
"Jund",1975.26305821963,-0.834407116692281,0.0771477333710456,-10.8157048850568,2.90054241945716e-27,7.24623744437327e-25
"Rpl30",3015.1859006379,-0.825104647021403,0.0775455171265529,-10.640262359394,1.93583486685492e-26,4.56749482196269e-24
"Egr1",2476.92331995319,-0.782815047187058,0.0750749080165942,-10.427119631156,1.86454852049648e-25,4.16775661397292e-23
"Rps26",1730.23633951336,-0.822852255906576,0.0790483323092228,-10.4094828046179,2.2443764648527e-25,4.76593342311471e-23
"Rpl36a",800.280077454531,-0.958424228306844,0.0936711656833886,-10.2317956792205,1.42845774286866e-24,2.88888573045867e-22
"Rps29",4488.60370835264,-0.743847735663292,0.0731780173870703,-10.1649069245585,2.84393519768611e-24,5.49008762935132e-22
"Rpl38",1404.19494064252,-0.864264409626068,0.0861707168407297,-10.0296764528894,1.12885899800697e-23,2.08446268023288e-21
"Rpl22",1313.87193421814,-0.844333553322039,0.0845171572425535,-9.99008462741959,1.68437880307843e-23,2.98064865694754e-21
"Junb",3435.59761745899,-0.782391349537556,0.078405190940095,-9.97882079179346,1.88695917221853e-23,3.20556624176485e-21
"Cd74",14700.8751285472,-0.745490204877429,0.0757642762962017,-9.83960042016269,7.60121282060403e-23,1.24162887881174e-20
"Gm10076",368.578732798521,-1.14563178659116,0.117991263241362,-9.70946284597082,2.74781357003883e-22,4.32220897479811e-20
"Ubc",2049.18624991118,-0.819283670475681,0.0847925784065596,-9.6622096635323,4.36348850583681e-22,6.61847703010319e-20
"AY036118",618.31686083894,1.02917090750416,0.108312026262825,9.50190798763954,2.0607923243496e-21,3.01799482810784e-19
"Atpif1",460.663229627407,-1.04767938252558,0.110377045834601,-9.49182300181797,2.27028613449778e-21,3.21396840440403e-19
"Fau",5465.46571881651,-0.698026320054807,0.0740246424891941,-9.42964797373662,4.11467574136528e-21,5.63710576567043e-19
"Ier3",1639.10852592231,-1.0273590052724,0.109212918049663,-9.40693668495532,5.10806904773686e-21,6.77936538929327e-19
"Malat1",23663.5140272583,-0.60603434069573,0.065082036687021,-9.3118527253556,1.25621624936345e-20,1.61671224577169e-18
"Rps20",3491.4472033738,-0.684764275502003,0.0742660712310153,-9.2204187477744,2.95942200642902e-20,3.49129590591779e-18
"Zfp36",2269.26215723603,-0.724601725865141,0.0785647424254695,-9.22298862689628,2.88932479256681e-20,3.49129590591779e-18
"Atox1",931.241826683664,-0.830742909207892,0.0900862595246534,-9.22163838959865,2.92594733714739e-20,3.49129590591779e-18
"Ddx5",1470.23276044977,-0.791067378941133,0.0859631128786264,-9.20240499035978,3.50026303876336e-20,4.01773435827783e-18
"Rpl32",3411.17843016809,-0.666039947032583,0.0731413572460028,-9.10620163627032,8.53166843547566e-20,9.53526206459609e-18
"Wfdc18",103.683283022362,-2.0979876265847,0.230896655682657,-9.08626251160678,1.0250206221363e-19,1.11622117492638e-17
"Rpl23",3999.30490799036,-0.673322934835874,0.0743797141943476,-9.05250769149961,1.39722007250604e-19,1.48349841198329e-17
"Rplp2",2249.53369407436,-0.719956007663238,0.0798332808622566,-9.01824401912583,1.91128206703124e-19,1.97980852162968e-17
"H2-Q7",141.511732959332,1.80958031051004,0.201717574078973,8.97086096128433,2.94205641614541e-19,2.97497942842132e-17
"Jun",4059.33269626729,-0.798501490976041,0.0910317743325583,-8.7716788652163,1.76021817632859e-18,1.73852246392268e-16
"Rpl26",2794.29256715743,-0.6566908145455,0.0751487223966253,-8.73854928736606,2.36122884777209e-18,2.27912248102002e-16
"Rpl27",1626.94978455772,-0.745349117755618,0.085548532831887,-8.71258796711706,2.97014659652314e-18,2.80315835454084e-16
"Nfkbia",1815.81353746998,-0.858325207322166,0.0989114852599465,-8.67771022815425,4.03816316250743e-18,3.72827803286284e-16
"Atp5e",606.626491836045,-0.957984442257701,0.110520456463206,-8.66793780006356,4.40016974641311e-18,3.97606827936521e-16
"Rpl41",2126.75146949135,-0.693542485877887,0.0801827688315473,-8.64952028951411,5.17163615431034e-18,4.57582057236584e-16
"Btg2",2836.04259566281,-0.813460640745685,0.0943312523347608,-8.62344790948914,6.49677352376734e-18,5.63097901131426e-16
"Rpl28",2195.75838135866,-0.660138826597797,0.0768452175594034,-8.5904998068031,8.65918158301411e-18,7.35510883661218e-16
"Uqcrh",561.356770790162,-0.945662472627228,0.110761506318815,-8.53782603773226,1.36770623903868e-17,1.13895066611711e-15
"Rps25",2072.35286227702,-0.672138254630964,0.0792350934303659,-8.4828353893677,2.19771478149793e-17,1.79494128404264e-15
"Calm2",615.785533165893,-0.882091188661293,0.105300357585182,-8.37690591836527,5.43372480064726e-17,4.35415645817904e-15
"Atf3",2616.59519842603,-0.686909202417279,0.082192139666854,-8.35735880829359,6.41379977704901e-17,5.0443347505791e-15
"Rps16",3325.87177070077,-0.591606395777663,0.0716340391212475,-8.25873290177471,1.47226964411553e-16,1.13685985064703e-14
"Rps23",3054.54069300925,-0.638596872914277,0.0774154559320251,-8.24895836659541,1.59781084738065e-16,1.21176833371886e-14
"Rps13",2703.73886486018,-0.639656095620442,0.0777937921658585,-8.22245680293715,1.99376124357474e-16,1.48552701780034e-14
"H2-Aa",5679.16421789751,-0.6051165819644,0.0736210365054299,-8.21934341986301,2.04620323566461e-16,1.49831467963234e-14
"Rplp1",5034.15827771398,-0.587185136881005,0.0717928796719819,-8.17887706362839,2.86501220144365e-16,2.06232318975105e-14
"Rpl36",1427.06253227865,-0.720174696291168,0.0882631575685064,-8.15940326780397,3.36683788901513e-16,2.38316008577454e-14
"Sem1",528.650732816836,-0.903080574321317,0.110947835503477,-8.13968627890013,3.96303428899617e-16,2.75918141399455e-14
"Rpl21",2462.72235199945,-0.618220357045511,0.0759919125196742,-8.13534409843224,4.10769936966095e-16,2.81377406821775e-14
"Serf2",1066.77999256859,-0.727282716171904,0.0894661957743185,-8.12913424872227,4.32367260567821e-16,2.91470437401831e-14
"Cox6c",521.311527072498,-0.861227142358072,0.106461636575123,-8.08955385304789,5.98836731597615e-16,3.97384312358605e-14
"Rps12",4147.566738124,-0.565553570565541,0.0699385037997817,-8.08644079925694,6.14335566441867e-16,4.01397407796709e-14
"Rps11",2909.90566530652,-0.663531403441184,0.0822361380930013,-8.06861093952141,7.11024443583699e-16,4.5070459879104e-14
"Rps24",4784.86312206747,-0.577025041237515,0.0715114647225588,-8.06898646917923,7.08841200717958e-16,4.5070459879104e-14
"H3f3b",4710.38786332173,-0.66938689866357,0.0843478471291203,-7.93602826209503,2.08758461719064e-15,1.30381939253069e-13
"Irf7",174.704664415565,1.60025813331101,0.201801851665942,7.92984861189499,2.19413192902149e-15,1.35050410181946e-13
"Ost4",229.748318315645,-1.09053983908549,0.138315400446087,-7.88444262582723,3.1594252702587e-15,1.91686844611267e-13
"Eif1",1768.5195288454,-0.662463336817622,0.084306762409506,-7.85777223421079,3.91025493785112e-15,2.33899334099348e-13
"mt-Nd4l",410.393561207375,-0.874045779346432,0.111871206336844,-7.81296464002255,5.58582710851957e-15,3.29486218470592e-13
"Eef1a1",4382.27675771087,-0.552057369613626,0.0711327731813529,-7.76094259963909,8.43004672722392e-15,4.90443951376986e-13
"Rps14",3387.06073909355,-0.559122002339081,0.0721703454121393,-7.74725407154605,9.39009563529617e-15,5.38915353555444e-13
"Son",538.73767924371,-0.83968379322544,0.108531064954319,-7.73680598802623,1.01945443224277e-14,5.77283063164675e-13
"Rps27a",3430.75681215147,-0.569954862258948,0.0736978135377187,-7.733673970765,1.04486417100335e-14,5.83886596612002e-13
"Cd81",728.338616130217,-0.793678576764011,0.102971758072344,-7.70773065956983,1.28074688077718e-14,7.06406753592298e-13
"Prdx6",59.2309293256895,2.19810487077336,0.286078642478434,7.68356858705057,1.5471707105397e-14,8.32932695378153e-13
"Tomm7",265.811380058542,-1.0043837552925,0.130721487727886,-7.68338681535859,1.54936856451316e-14,8.32932695378153e-13
"Ndufa4",416.76947932604,-0.987909024493739,0.129301186618666,-7.64037090709209,2.16596866622961e-14,1.14985861568464e-12
"Pnrc1",650.852763176261,-0.763277272821942,0.100815763323794,-7.57101119564504,3.70330131950593e-14,1.9417186054249e-12
"Plac8",65.4169028706719,2.14750638569609,0.284423555107571,7.55038163025524,4.33984675143671e-14,2.24772306748192e-12
"Wfdc17",932.589295417756,-0.812649570273642,0.107769161126217,-7.54065042152349,4.67633146049071e-14,2.39281683285591e-12
"Hspa8",2143.72418228798,-0.599185247344282,0.080223191117681,-7.46897797253322,8.08200655305346e-14,4.03815080362565e-12
"Rps4x",3082.10225909937,-0.55118284686128,0.0737911199645864,-7.46950103380734,8.04994766275992e-14,4.03815080362565e-12
"Cd9",346.09220273406,-0.966120804678066,0.129611353138566,-7.45398285939658,9.05637691632528e-14,4.47237590274808e-12
"Aplp2",297.84557346232,-0.933243381044495,0.127426311796951,-7.32378868919617,2.4106618256443e-13,1.17679089350705e-11
"Atp5j2",347.554670759985,-0.888236272520263,0.12140654663955,-7.31621396955958,2.55064849071943e-13,1.23097774319153e-11
"Hsp90b1",765.179367571808,-0.6731227392278,0.0920930998009495,-7.30915498210714,2.68827565259916e-13,1.28282097714479e-11
"Marcksl1",451.199775317207,-0.831808754872571,0.113919483823827,-7.30172510401237,2.84101267727205e-13,1.34064231559716e-11
"Rpl27a",3442.93720303408,-0.553455050189935,0.0758521023616091,-7.29650244302332,2.95344487683625e-13,1.37838246065094e-11
"Cox7c",573.897012268774,-0.902891935698061,0.123777646993292,-7.29446679291772,2.99844166881676e-13,1.38417193124617e-11
"Socs3",626.661782185947,-0.784386061889379,0.108519897719284,-7.22803908199774,4.90017727182472e-13,2.23774762079996e-11
"H2-Eb1",5021.27963339078,-0.576501795300842,0.0798867017863338,-7.21649263782054,5.33455499677695e-13,2.41019734801188e-11
"Atp6v0c",1363.91744846468,-0.603425389063892,0.0836724620176751,-7.21175610843653,5.52348413313439e-13,2.46928811720229e-11
