"cluster","ImmGen","MouseRNAseq"
"0","Stem cells","Neurons"
"1","Macrophages","Macrophages"
"10","Epithelial cells","Fibroblasts"
"11","Fibroblasts","Fibroblasts"
"12","DC","Monocytes"
"13","Endothelial cells","Neurons"
"14","Epithelial cells","Epithelial cells"
"15","Epithelial cells","Fibroblasts"
"16","Epithelial cells","Endothelial cells"
"17","Epithelial cells","Endothelial cells"
"18","Stem cells","Monocytes"
"19","Stromal cells","Fibroblasts"
"2","Epithelial cells","Fibroblasts"
"20","Epithelial cells","Fibroblasts"
"21","Epithelial cells","Fibroblasts"
"22","Epithelial cells","Epithelial cells"
"23","Epithelial cells","Adipocytes"
"24","Fibroblasts","Fibroblasts"
"25","Epithelial cells","Macrophages"
"26","Fibroblasts","Fibroblasts"
"27","Epithelial cells","Epithelial cells"
"28","B cells","B cells"
"29","Fibroblasts","Fibroblasts"
"3","B cells","B cells"
"30","Epithelial cells","Neurons"
"31","Epithelial cells","Macrophages"
"32","Stem cells","Neurons"
"33","Epithelial cells","Fibroblasts"
"34","T cells","T cells"
"35","Epithelial cells","Fibroblasts"
"4","Monocytes","Monocytes"
"5","Neutrophils","Granulocytes"
"6","Endothelial cells","Endothelial cells"
"7","Endothelial cells","Neurons"
"8","ILC","NK cells"
"9","Epithelial cells","Neurons"
