"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.63007606712151e-122,3.95931219211198,0.796,0.061,4.09621814906963e-118,"0","Gm11992"
5.42754049952573e-80,3.94258907366544,0.603,0.044,1.36388665212582e-75,"0","Pth2"
4.81789833341764e-60,3.86441907234604,0.504,0.058,1.21068967220452e-55,"0","Dlg2"
1.08347426854097e-44,3.82987515028672,0.36,0.027,2.7226624894166e-40,"0","Gm6878"
3.93589481710348e-151,3.78652700445659,0.951,0.087,9.89051008589933e-147,"0","Nrn1l"
2.49551326642268e-62,8.47288184148753,0.494,0.004,6.27097528719356e-58,"1","Fcrls"
3.90724970868428e-61,7.02545874248517,0.485,0.008,9.81852779295272e-57,"1","Pf4"
3.86289350135745e-157,6.91616016737769,0.908,0.017,9.70706507956113e-153,"1","Ms4a7"
2.24518240737922e-103,6.79329339852313,0.694,0.017,5.64191887150325e-99,"1","Trem2"
7.91861777027624e-78,6.73861565960936,0.548,0.013,1.98986945949272e-73,"1","Mrc1"
4.56309590499187e-49,8.58458503249574,0.341,0.001,1.14666036996541e-44,"10","Car10"
9.61143497278981e-100,7.83958853284572,0.658,0.006,2.41525749431235e-95,"10","Abca4"
1.97006183511175e-146,7.66577341400409,0.82,0.013,4.95056838545232e-142,"10","Nrcam"
4.10207240240818e-100,6.32199594912273,0.63,0.012,1.03080977400115e-95,"10","Vit"
1.89631306178147e-82,6.21831034166064,0.516,0.01,4.76524509295065e-78,"10","Slc47a1"
3.2482982017234e-42,9.87572935669031,0.324,0.001,8.16264855111073e-38,"11","Dpep1"
5.52321449434559e-45,9.74343485671009,0.339,0.001,1.3879285702841e-40,"11","Dpt"
2.23807435102914e-44,9.43997531900987,0.314,0.001,5.62405703670112e-40,"11","Hhip"
3.51001130112232e-119,9.29984936383487,0.719,0.004,8.82030739859029e-115,"11","Mfap4"
5.83160697839567e-158,9.04823513923129,0.891,0.022,1.46542451760105e-153,"11","Apod"
4.38751905852121e-66,7.03558739681166,0.46,0.005,1.10253966421579e-61,"12","Cd209a"
7.40789931297273e-51,6.33379010316874,0.374,0.005,1.86153101835692e-46,"12","Flt3"
5.85454030707912e-55,5.50006395952502,0.412,0.019,1.47118743376591e-50,"12","Tnfsf9"
2.43650428138326e-53,5.1683810835255,0.399,0.01,6.12269160868799e-49,"12","Kmo"
3.74478586031659e-58,5.10104307951123,0.481,0.027,9.41027238838955e-54,"12","Tnip3"
6.41573698972066e-38,4.42588699082862,0.356,0.026,1.6122105481469e-33,"13","4932412D23Rik"
1.43342706028855e-61,3.92118761375082,0.536,0.032,3.60205885979911e-57,"13","Ly6h"
4.57180641406457e-48,3.60986700207792,0.472,0.045,1.14884923379029e-43,"13","Gm20531"
1.27989014612536e-120,3.55748525581455,0.814,0.054,3.21623594819841e-116,"13","Gap43"
1.40253658154518e-39,3.28608465341201,0.399,0.049,3.52443417576489e-35,"13","Mbl2"
8.56297363788298e-76,9.25085814986564,0.528,0.001,2.15178964546361e-71,"14","Kl"
3.47334629000555e-125,9.12839558230149,0.786,0.003,8.72817189215495e-121,"14","Clcnka"
5.08194734156422e-166,9.07048141851644,0.934,0.006,1.27704254746167e-161,"14","Galnt13"
3.99286845212435e-166,9.01686524492364,0.949,0.006,1.00336791333433e-161,"14","Smbd1"
1.00043743739659e-31,8.98289775380146,0.268,0.001,2.51399923643389e-27,"14","Myh7"
6.797123823405e-40,7.67257329428004,0.285,0.002,1.70804924558344e-35,"15","Gp2"
1.21412914851877e-38,7.18258826259867,0.339,0.038,3.05098513731282e-34,"15","Bpifa1"
1.45004635294565e-174,7.16060873262727,0.979,0.074,3.64382148031713e-170,"15","Reg3g"
7.23445690971476e-44,6.76260528394499,0.325,0.012,1.81794667684222e-39,"15","Tff2"
1.11042599766201e-129,6.22656235558127,0.801,0.021,2.79038948952487e-125,"15","Gabrp"
2.53007730680987e-45,6.48083966927658,0.376,0.029,6.35783126428251e-41,"16","Gm14744"
9.51382132087796e-48,6.38619277512067,0.394,0.007,2.39072815972342e-43,"16","Tac1"
2.92911889172345e-53,5.82796680337406,0.407,0.032,7.36058286301186e-49,"16","Lcn11"
1.95491072486066e-74,5.79187223691472,0.564,0.013,4.91249516050235e-70,"16","Barx2"
7.33797896532367e-29,5.75615136473072,0.276,0.022,1.84396073419618e-24,"16","Obp2a"
